,공시고유번호,상장코드,최종수정일,회사명
0,00162319, ,20170630,한양상사
0,00355511, ,20170630,"Photronics,Inc."
0,00400176, ,20170630,무빙넷
0,00396402, ,20170630,슈마커코리아
0,00439938, ,20170630,유케이
0,00337977, ,20170630,캐피탈리서치앤매니지먼트컴퍼니
0,00436047, ,20170630,월드타운
0,00387097, ,20170630,센텀파크유동화전문유한회사
0,00274410, ,20170630,인트빔
0,00328100, ,20170630,나래소프트시스템
0,00243845, ,20170630,삼광고하켐
0,00336260, ,20170630,OAKMARKINTERNATIONALFUND
0,00262026, ,20170630,신중앙99-1유동화전문유한회사
0,00264431, ,20170630,크레디피아유동화전문
